"","x"
"cg01891252",20830
"cg17603689",20831
"cg23097402",20832
"cg21774338",20833
"cg04931216",20834
"cg07362328",20836
"cg04455430",20837
"cg21592065",20841
"cg12285988",20842
"cg17744293",20843
"cg13941830",20844
"cg23638252",20845
"cg04023996",20847
"cg01486262",20848
"cg22627293",20849
"cg25281186",20850
"cg21807522",20851
"cg12421536",20892
"cg23090529",20896
"cg10893043",20897
"cg11654900",20898
"cg02626152",21126
"cg13221868",21139
"cg00528464",21140
"cg23279538",21153
"cg06232635",21215
"cg02453146",21219
"cg09068158",21229
"cg06335143",21270
"cg05519231",21295
"cg04868870",21309
"cg16028753",21324
"cg25908896",21401
"cg15813778",21403
"cg17746383",21412
"cg01100796",21413
"cg14037393",21424
"cg11841758",21430
"cg13209762",21515
"cg09977376",21576
"cg15281611",21604
"cg17786642",21674
"cg11379439",21675
"cg20793071",21766
"cg10336722",21837
"cg24373187",21838
"cg24327307",21906
"cg09890699",21949
"cg06358171",21950
"cg19963589",21951
"cg08641990",21952
"cg00782828",22007
"cg17085123",22009
"cg10703691",22015
"cg00868131",22016
"cg14971544",22018
"cg21527621",22041
"cg12723994",22113
"cg02255609",22114
"cg19022697",22139
"cg24697184",22155
"cg20569588",22156
"cg26916439",22174
"cg10073091",22202
"cg09130963",22203
"cg25788665",22205
"cg08937380",22228
"cg18384681",22245
"cg14214659",22270
"cg17826594",22271
"cg17890932",22310
"cg02607723",22312
"cg00713294",22313
"cg19253379",22411
"cg26083968",22530
"cg09403098",22546
"cg06535441",22573
"cg05413451",22574
"cg06836772",22582
"cg00002810",22693
"cg06563667",22702
"cg15898414",22771
"cg01451162",22774
"cg21177673",22775
"cg10347335",22819
"cg26841784",22825
"cg04177707",22836
"cg23258095",22860
"cg15687600",22875
"cg11544308",22882
"cg02003167",22893
"cg19520452",22901
"cg16264035",22902
"cg11808861",22970
"cg15085741",22991
"cg21422871",23081
"cg23996071",23101
"cg07430760",23116
"cg26184610",23125
"cg24740868",23133
"cg06405860",23134
"cg01469108",23135
"cg09851465",23136
"cg08267286",23146
"cg16711650",23158
"cg27427318",23214
"cg02140384",23219
"cg19097500",23223
"cg17017152",23231
"cg24150404",23264
"cg11685477",23273
"cg01508436",23292
"cg01656087",23366
"cg21561370",23388
"cg12824496",23390
"cg05539515",23427
"cg24337878",23443
"cg01767614",23451
"cg10950050",23456
"cg01822557",23486
"cg18384460",23541
"cg11672180",23545
"cg13477806",23546
"cg11923320",23547
"cg06912182",23549
"cg17910371",23550
"cg11848563",23551
"cg04908308",23552
"cg25286536",23553
"cg02483593",23554
"cg01067151",23556
"cg11953254",23558
"cg21695661",23559
"cg09809806",23564
"cg18759728",23594
"cg26449961",23595
"cg03119829",23624
"cg09208651",23746
"cg01521258",23764
"cg23617193",23776
"cg13420662",23865
"cg13853591",23882
"cg25005739",23895
"cg00257455",23897
"cg20301308",23901
"cg06338511",23906
"cg24691814",23930
"cg05347379",23933
"cg09216236",23942
"cg04567445",23951
"cg24550010",23952
"cg04994405",23953
"cg25503513",23963
"cg22733910",24018
"cg16294013",24020
"cg10552807",24021
"cg20214404",24068
"cg07734160",24085
"cg23045908",24086
"cg04989278",24103
"cg26483275",24123
"cg03879673",24127
"cg02994349",24128
"cg02641990",24129
"cg17310653",24163
"cg19159365",24167
"cg27519411",24204
"cg23744433",24206
"cg03849927",24209
"cg21115004",24225
"cg22853262",24267
"cg01356829",24275
"cg19745415",24276
"cg23963437",24339
"cg23369529",24348
"cg02639608",24349
"cg14393208",24350
"cg20783262",24351
"cg16960356",24357
"cg23251970",24394
"cg03140521",24395
"cg13184736",24396
"cg04447890",24511
"cg05450267",24512
"cg13844049",24519
"cg16166651",24548
"cg00082739",24631
"cg17107876",24632
"cg00306426",24633
"cg15518491",24642
"cg15201877",24691
"cg03726881",24692
"cg00915178",24693
"cg20785136",24694
"cg16356856",24787
"cg19634242",24834
"cg03513964",24835
"cg09766820",24874
"cg00419321",24875
"cg11196437",24877
"cg13478928",24880
"cg23845450",24881
"cg11936040",24882
"cg00145253",24884
"cg00885851",24957
"cg25312440",24978
"cg18487946",25184
"cg16889022",25185
"cg20227495",25186
"cg09662920",25225
"cg21497935",25226
"cg09107315",25227
"cg00701741",25281
"cg02859837",25282
"cg14319235",25323
"cg26059844",25370
"cg17426166",25430
"cg20320455",25456
"cg25974355",25489
"cg25920545",25508
"cg10388307",25510
"cg02531516",25578
"cg18116902",25579
"cg04407776",25598
"cg13047822",25610
"cg11555919",25642
"cg24015703",25678
"cg07167493",25704
"cg00522592",25788
"cg09369316",25792
"cg23106912",25794
"cg05177459",25795
"cg00893493",25804
"cg21147310",25805
"cg12062099",25810
"cg02213139",25811
"cg06143087",25825
"cg22949578",25826
"cg11737676",25913
"cg00183684",25914
"cg02254587",25919
"cg07350718",25920
"cg24692177",25921
"cg07561554",25922
"cg15169317",25923
"cg15833339",25991
"cg07660029",26044
"cg26823989",26071
"cg08162465",26128
"cg20957553",26142
"cg08030257",26344
"cg03093801",26397
"cg14799482",26400
"cg19334336",26401
"cg18086643",26408
"cg20140333",26412
"cg21155367",26417
"cg07539182",26418
"cg01860897",26453
"cg17659710",26471
"cg14841540",26486
"cg06533314",26541
"cg13486820",26543
"cg13146465",26544
"cg00010742",26545
"cg14696458",26546
"cg13361185",26547
"cg07318983",26548
"cg21542223",26549
"cg26568372",26550
"cg20634266",26551
"cg15992284",26552
"cg12208392",26553
"cg16005939",26554
"cg22167515",26555
"cg11549945",26556
"cg20041088",26557
"cg08713568",26559
"cg20387429",26565
"cg00667862",26566
"cg09793883",26567
"cg06849504",26569
"cg25202302",26573
"cg04775302",26574
"cg00371239",26575
"cg13140338",26576
"cg06082050",26621
"cg05382305",26629
"cg09077757",26630
"cg23440142",26702
"cg23113350",26743
"cg07557690",26744
"cg00563926",26745
"cg19245011",26756
"cg02095589",26781
"cg21218183",26817
"cg05796321",26848
"cg12810233",26849
"cg20125091",26851
"cg05876972",26939
"cg13546173",26977
"cg10459430",26979
"cg16394260",26993
"cg01808739",27002
"cg15107346",27036
"cg00284152",27037
"cg23933261",27068
"cg24985662",27075
"cg20651314",27095
"cg26815456",27104
"cg01891924",27105
"cg17657994",27129
"cg24504423",27141
"cg02904701",27142
"cg01473670",27192
"cg24049050",27231
"cg26229607",27232
"cg06341103",27238
"cg07840482",27239
"cg03545542",27240
"cg24215727",27276
"cg17552667",27283
"cg00778190",27308
"cg08056069",27334
"cg10140197",27335
"cg17340204",27344
"cg22424108",27361
"cg16182860",27396
"cg00356204",27430
"cg19514928",27442
"cg06440946",27469
"cg01740479",27644
"cg22158212",27670
"cg24866936",27671
"cg20713662",27672
"cg26342256",27708
"cg20857364",27724
"cg05596294",27738
"cg18947801",27739
"cg19811961",27751
"cg12469756",27828
"cg06426831",27846
"cg14471407",27847
"cg25213402",27895
"cg06161752",27896
"cg23687177",27930
"cg14855972",27946
"cg10298815",27947
"cg23379653",27989
"cg24646972",27994
"cg12274657",28018
"cg23102367",28044
"cg16634914",28045
"cg10210739",28046
"cg17859448",28047
"cg18770231",28097
"cg09180564",28113
"cg21809447",28125
"cg14973421",28126
"cg26256793",28143
"cg03520644",28144
"cg15468180",28234
"cg17515145",28243
"cg26145228",28245
"cg16810045",28246
"cg13980930",28345
"cg08771528",28370
"cg25396301",28378
"cg24737783",28384
"cg12521627",28385
"cg03530210",28465
"cg20569839",28472
"cg27528695",28486
"cg16797831",28492
"cg08395640",28495
"cg21684021",28548
"cg13912858",28606
"cg10087399",28607
"cg13141442",28625
"cg07571041",28626
"cg14375795",28658
"cg22442500",28700
"cg08518551",28702
"cg15699444",28703
"cg00924017",28744
"cg21451998",28749
"cg13734661",28757
"cg02880629",28773
"cg23528992",28843
"cg03429223",28851
"cg04905791",28852
"cg20815701",28862
"cg00484358",28929
"cg15442459",28930
"cg02011351",28931
"cg06455470",28943
"cg27432826",28970
"cg02103924",28971
"cg00961932",28977
"cg14107583",28978
"cg20610274",29021
"cg02817784",29045
"cg01245068",29140
"cg15346919",29166
"cg09217258",29167
"cg16794139",29175
"cg06023006",29185
"cg15726426",29194
"cg19215003",29230
"cg01528237",29291
"cg05816365",29293
"cg26366091",29302
"cg23279117",29320
"cg10989634",29321
"cg13469595",29322
"cg14053276",29343
"cg00035969",29455
"cg26336814",29495
"cg17838705",29497
"cg04128499",29503
"cg15211908",29565
"cg22434989",29568
"cg02951738",29569
"cg21280061",29614
"cg16139749",29622
"cg11006812",29623
"cg24334335",29630
"cg25320499",29631
"cg17861791",29644
"cg16253132",29674
"cg08738562",29684
"cg10806711",29694
"cg09126636",29695
"cg03918071",29696
"cg22865470",29704
"cg04746890",29705
"cg19936157",29706
"cg12881338",29716
"cg02097190",29721
"cg14365100",29816
"cg03948207",29847
"cg10572465",29876
"cg13991834",29881
"cg11169316",29891
"cg08107327",29896
"cg18081760",29897
"cg20618842",29914
"cg06160592",29918
"cg15899025",29955
"cg08659209",29956
"cg01567634",29970
"cg03514545",29971
"cg15976388",29972
"cg00764109",29974
"cg05734020",30042
"cg11395799",30043
"cg18396987",30087
"cg12813768",30088
"cg09979899",30113
"cg18199741",30194
"cg04692435",30224
