"","x"
"386","cg01799015"
"387","cg02987249"
"388","cg09766671"
"389","cg25329728"
"390","cg06530217"
"391","cg19350808"
"392","cg12835473"
"393","cg09077362"
"394","cg02380983"
"395","cg12807419"
"396","cg26492243"
"397","cg15753612"
"398","cg07869660"
"399","cg07577911"
"400","cg09022473"
"401","cg09556182"
"402","cg03723653"
"403","cg12154726"
"404","cg03718651"
"405","cg25908774"
